State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
MA,Eastham,Municipal,11-03-1998,"Creates Regional Land Bank by 3 Percent Surcharge on Property Tax Bills for Open Space, Trails, Recreation, Watershed Protection",Property tax,,"Recreation, open space, trails, watershed protection","$5,003,300","$2,174,080","$5,003,300","$2,174,080",yes,Pass,60.99506266616%,39.00493733384%,,yes
MA,Falmouth,Municipal,11-03-1998,"Creates Regional Land Bank By 3 Percent Surcharge on Property Tax Bills for Open Space, Recreation, Trails, Watershed Protection",Property tax,,"Open space, trails, recreation, watershed protection","$11,767,240","$11,767,240","$11,767,240","$11,767,240",yes,Pass,59.452828785964%,40.547171214036%,,yes
MA,Sandwich,Municipal,11-03-1998,"Question 5, 3% Property Tax Increase for Land Bank for Open Space, Conservation, Trails, Recreation, Drinking Water Protection",Property tax,,"Recreation, open space, watershed protection, trails","$13,321,880","$12,860,500","$13,321,880","$12,860,500",yes,Pass,52.566214674946%,47.433785325054%,,yes
MD,Baltimore County,County,11-03-1998,"Question I, Bond for land preservation projects, open space",Bond,,Open space,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",yes,Pass,71.43813544503%,28.56186455497%,,yes
MI,Northville Township,Municipal,11-03-1998,"4-year, 0.75 Mill Property Tax Increase for Recreation, Parks, Preservation of Natural Areas",Property tax,,"Recreation, open space, parks","$2,338,356","$2,338,356","$2,338,356","$2,338,356",yes,Pass,52.440599173554%,47.559400826446%,Wayne County,yes
MI,Michigan,State,11-03-1998,"Proposal C, Bond issue for natural protection and clean up of watersheds, and park and recreational development",Bond,,"Recreation, watershed protection, parks","$675,000,000","$50,000,000","$675,000,000","$50,000,000",yes,Pass,62.728548526108%,37.271451473892%,,yes
MI,Washtenaw County,County,11-03-1998,"10-year, .4 mill property tax levy for open space and farmland acquisition",Property tax,,"Open space, farmland","$35,339,960","$35,339,960",,,no,Fail,42.448890106879%,57.551109893121%,,yes
MN,Minnesota,State,11-03-1998,Constitutional Amendment to extend use of lottery for environmental trust fund,Other,Lottery,"Open space, wildlife habitat, wathershed protection","$310,875,000","$223,830,000","$310,875,000","$223,830,000",yes,Pass,77.164085600914%,22.835914399086%,,yes
NC,Wake Forest,Municipal,11-03-1998,"Bond issue for parks, recreation and land acquisition",Bond,,"Parks, recreation, open space","$3,200,000","$3,200,000","$3,200,000","$3,200,000",yes,Pass,68.855400071762%,31.144599928238%,,yes
NJ,New Jersey,State,11-03-1998,"Public Question 1, 30-years, sales tax increase to finance bonds for open space, recreation, conservation, farmland, historic preservation",Sales tax,,"Recreation, open space, farmland","$2,940,000,000","$2,940,000,000","$2,940,000,000","$2,940,000,000",yes,Pass,66.275387757534%,33.724612242466%,,yes
NJ,Camden County,County,11-03-1998,"$0.01 per $100 Property Tax for Environmentally Sensitive Lands, Open Space, Drinking Water Sources, Historic Sites, Recreation, Farmland",Property tax,,"Recreation, open space, watershed protection, farmland","$40,145,260","$40,145,260","$40,145,260","$40,145,260",yes,Pass,66.851939123444%,33.148060876556%,,yes
NJ,Colts Neck Township,Municipal,11-03-1998,"1.5 cents property tax increase for Farmland, Open Space, Historic Preservation",Property tax,,"Open space, farmland","$5,595,260","$5,595,260","$5,595,260","$5,595,260",yes,Pass,68.608169440242%,31.391830559758%,Monmouth County,yes
NJ,Hazlet Township,Municipal,11-03-1998,"$0.01 per $100 Property Tax for Open Space, Conservation, Recreation, Parks",Property tax,,"Recreation, open space, farmland","$500,000","$500,000",,,no,Fail,48.467184801382%,51.532815198618%,Monmouth County,yes
NJ,Holmdel Township,Municipal,11-03-1998,"$0.01 per $100 Property Tax for Recreation, Conservation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$3,529,140","$3,529,140","$3,529,140","$3,529,140",yes,Pass,60.108254397835%,39.891745602165%,Monmouth County,yes
NJ,Manalapan Township,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Conservation, Parks, Farmland",Property tax,,"Open space, parks, farmland","$8,169,340","$8,169,340",,,no,Fail,49.205170108453%,50.794829891547%,Monmouth County,yes
NJ,Middletown Township,Municipal,11-03-1998,"$0.01 per $100 Property Tax for Open Space, Conservation, Recreation, Parks",Property tax,,"Recreation, open space, parks","$9,257,440","$9,257,440","$9,257,440","$9,257,440",yes,Pass,64.975604020928%,35.024395979072%,Monmouth County,yes
NJ,Tinton Falls Borough,Municipal,11-03-1998,"$0.015 per $100 Property Tax for Open Space, Recreation, Farmland",Property tax,,"Recreation, open space, farmland","$2,922,480","$2,922,480","$2,922,480","$2,922,480",yes,Pass,58.490566037736%,41.509433962264%,Monmouth County,yes
NJ,East Greenwich Township,Municipal,11-03-1998,"$0.01 per $100 Property Tax for Recreation, Conservation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$670,000","$670,000","$670,000","$670,000",yes,Pass,,,Gloucester County; vote count unavailable because results destroyed 65/35,yes
NJ,Jefferson Township,Municipal,11-03-1998,$0.01 per $100 Property Tax for Open Space,Property tax,,Open space,"$585,000","$575,000","$585,000","$575,000",yes,Pass,64.0097799511%,35.9902200489%,Morris County,yes
NJ,Mendham Borough,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Conservation, Recreation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$431,512","$431,512","$431,512","$431,512",yes,Pass,73.680351906158%,26.319648093842%,Morris County,yes
NJ,Mendham Township,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Recreation",Property tax,,"Recreation, open space","$1,700,220","$717,500","$1,700,220","$717,500",yes,Pass,60.301507537688%,39.698492462312%,Morris County,yes
NJ,Morris County,County,11-03-1998,"County Public Question No. 2, $0.01 per $100 Property Tax Increase for Recreation, Open Space, Conservation, Farmland",Property tax,,"Recreation, open space, farmland","$313,612,200","$123,526,660","$313,612,200","$123,526,660",yes,Pass,55.712239233593%,44.287760766407%,,yes
NJ,Mount Olive Township,Municipal,11-03-1998,"$0.02 per $100 Property Tax Increase for Open Space, Recreation",Property tax,,"Recreation, open space","$4,811,500","$980,000","$4,811,500","$980,000",yes,Pass,54.078826764436%,45.921173235564%,Morris County,yes
NJ,Frankford Township,Municipal,11-03-1998,"5-year, $0.01-$0.03 per $100 Property Tax for Open Space, Recreation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$398,100","$398,100","$398,100","$398,100",yes,Pass,59.972583961618%,40.027416038382%,Sussex County,yes
NJ,Hampton Township,Municipal,11-03-1998,"5-year, $0.03 per $100 Property Tax for Open Space, Recreation, Conservation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$243,995","$243,995","$243,995","$243,995",yes,Pass,54.091971940764%,45.908028059236%,Sussex County,yes
NJ,Hopatcong Borough,Municipal,11-03-1998,"5-year, $0.03 per $100 Property Tax for Open Space, Recreation, Conservation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$1,280,000","$1,280,000",,,no,Fail,43.292469352014%,56.707530647986%,Sussex County,yes
NJ,Bernardsville Borough,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Recreation, Conservation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$5,162,480","$5,162,480","$5,162,480","$5,162,480",yes,Pass,62.93913904008%,37.06086095992%,Somerset County,yes
NJ,Branchburg Township,Municipal,11-03-1998,"$0.01 per $100 Property Tax for Recreation, Conservation, Farmland",Property tax,,"Recreation, open space, farmland","$2,714,600","$1,814,600","$2,714,600","$1,814,600",yes,Pass,62.64458464774%,37.35541535226%,Somerset County,yes
NJ,Bridgewater Township,Municipal,11-03-1998,"10-year, $0.04 per $100 Property Tax Increase for Recreation, Conservation",Property tax,,"Recreation, open space","$21,701,980","$21,701,980","$21,701,980","$21,701,980",yes,Pass,50.210742461904%,49.789257538096%,Somerset County,yes
NJ,Hillsborough,Municipal,11-03-1998,$0.018 per $100 Property Tax Increase for Open Space Trust Fund,Property tax,,Open space,"$19,676,620","$19,676,620","$19,676,620","$19,676,620",yes,Pass,53.488372093023%,46.511627906977%,Somerset County,yes
NJ,Peapack-Gladstone Borough,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Farmland, Recreation, Historic Preservation",Property tax,,"Recreation, open space, farmland","$1,934,800","$1,934,800","$1,934,800","$1,934,800",yes,Pass,68.78612716763%,31.21387283237%,Somerset County,yes
NJ,Watchung Borough,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Recreation, Conservation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$3,640,000","$3,640,000","$3,640,000","$3,640,000",yes,Pass,51.112447384245%,48.887552615755%,Somerset County,yes
NJ,Franklin Township,Municipal,11-03-1998,"$0.03 per $100 Property Tax for Open Space, Recreation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$34,934,920","$34,934,920","$34,934,920","$34,934,920",yes,Pass,57.55840586349%,42.44159413651%,Somerset County,yes
NJ,White Township,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Drinking Water Sources, Recreation, Farmland",Property tax,,"Recreation, open space, watershed protection, farmland","$1,330,740","$1,330,740","$1,330,740","$1,330,740",yes,Pass,62.135922330097%,37.864077669903%,Warren County,yes
NJ,Warren County,County,11-03-1998,"County Question No. 5, $0.02 per $100 Property Tax for Open Space, Recreation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$45,556,160","$45,556,160",,,no,Fail,37.260159195643%,62.739840804357%,,yes
NJ,Liberty Township,Municipal,11-03-1998,"Liberty Question No. 1, $0.02 per $100 Property Tax for Open Space, Recreation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$1,020,000","$1,020,000","$1,020,000","$1,020,000",yes,Pass,50.069735006974%,49.930264993027%,Warren County,yes
NJ,Blairstown Township,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Property Development Rights, Farmland, Recreation, Drinking Water Sources",Property tax,,"Recreation, open space, watershed protection, farmland","$1,655,040","$1,655,040",,,no,Fail,42.15522054718%,57.84477945282%,Warren County,yes
NJ,Franklin Township,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Farmland, Recreation, Historic Preservation, Drinking Water Sources",Property tax,,"Recreation, open space, watershed protection, farmland","$733,880","$733,880","$733,880","$733,880",yes,Pass,54.863221884498%,45.136778115502%,Warren County,yes
NJ,Hardwick Township,Municipal,11-03-1998,"$0.01 per $100 Property Tax for Open Space, Recreation, Conservation, Farmland",Property tax,,"Recreation, open space, farmland","$199,640","$199,640","$199,640","$199,640",yes,Pass,62.078651685393%,37.921348314607%,Warren County,yes
NJ,Harmony Township,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Drinking Water Sources, Recreation, Farmland",Property tax,,"Recreation, open space, watershed protection, farmland","$1,403,860","$1,403,860","$1,403,860","$1,403,860",yes,Pass,64.245014245014%,35.754985754986%,Warren County,yes
NJ,Independence Township,Municipal,11-03-1998,"$0.02 per $100 Property Tax for Open Space, Recreation, Farmland, Historic Preservation",Property tax,,"Recreation, open space, farmland","$1,211,420","$1,211,420","$1,211,420","$1,211,420",yes,Pass,52.099031216362%,47.900968783638%,"Warren County; despite vote, no tax instituted",yes
NJ,Voorhees Township,Municipal,11-03-1998,"Bond for Open Space, Recreation",Bond,,"Recreation, open space","$10,000,000","$10,000,000","$10,000,000","$10,000,000",yes,Pass,61.980830670927%,38.019169329073%,Camden County,yes
NJ,Bergen County,County,11-03-1998,"5-year, $0.05 mill property tax increase for open space, farmland and historic preservation",Property tax,,"Open space, farmland","$37,949,285","$37,949,285","$37,949,285","$37,949,285",yes,Pass,62.601180866797%,37.398819133203%,,yes
NJ,Burlington County,County,11-03-1998,"20-year, $0.02 per $100 of assessed property value increase for open space, recreation, trails, farmland and historic preservation",Property tax,,"Open space, farmland, trails, recreation","$86,946,000","$65,205,500","$86,946,000","$65,205,500",yes,Pass,57.980124521073%,42.019875478927%,,yes
NJ,Cedar Grove Township,Municipal,11-03-1998,$0.02 per $100 assessed property value increase for open space,Property tax,,Open space,"$1,181,400","$1,181,400","$1,181,400","$1,181,400",yes,Pass,57.61217948718%,42.38782051282%,Essex County,yes
NJ,Closter Borough,Municipal,11-03-1998,"$0.01 per $100 assessed property value for open space, recreation, farmland and historic preservation",Property tax,,"Open space, farmland, recreation","$1,556,000","$1,566,000","$1,566,000","$1,566,000",yes,Pass,53.203607024205%,46.796392975795%,Bergen County,yes
NJ,Delran Township,Municipal,11-03-1998,$0.038 per $100 assessed property value increase for open space and recreation,Property tax,,"Open space, recreation","$5,700,000","$5,700,000",,,no,Fail,37.064748201439%,62.935251798561%,Burlington County,yes
NJ,East Amwell Township,Municipal,11-03-1998,$0.04 per $100 assessed property value for farmland preservation and acquisition,Property tax,,Farmland,"$2,977,620","$2,977,620","$2,977,620","$2,977,620",yes,Pass,61.335578002245%,38.664421997755%,Hunterdon County,yes
NJ,Eastampton Township,Municipal,11-03-1998,"20-year, $0.03 per $100 assessed value increase for land acquisition, farmland, open space and recreation",Property tax,,"Open space, recreation, farmland","$1,500,000","$500,000","$1,500,000","$500,000",yes,Pass,76.01593625498%,23.98406374502%,Burlington County,yes
NJ,Edison Township,Municipal,11-03-1998,"15-year, $0.01 per $100 assessed value increase for open space",Property tax,,Open space,"$10,450,425","$10,450,425","$10,450,425","$10,450,425",yes,Pass,54.843110504775%,45.156889495225%,Middlesex County,yes
NJ,Essex County,County,11-03-1998,"$0.01 per $100 assessed property value for open space, recreation, farmland and historic preservation",Property tax,,"Recreation, open space, farmland","$75,264,440","$75,264,440","$75,264,440","$75,264,440",yes,Pass,63.479853479853%,36.520146520147%,,yes
NJ,Essex Fells Borough,Municipal,11-03-1998,"$0.02 per $100 assessed property value for open space, recreation and conservation",Property tax,,"Recreation, open space","$799,800","$799,800","$799,800","$799,800",yes,Pass,59.590043923865%,40.409956076135%,Essex County,yes
NJ,Hopewell Township,Municipal,11-03-1998,$0.02 per $100 assessed property value for open space,Property tax,,Open space,"$6,606,180","$6,606,180","$6,606,180","$6,606,180",yes,Pass,65.71774682011%,34.28225317989%,Mercer County,yes
NJ,Jefferson Township,Municipal,11-03-1998,"5-year, $0.01 per $100 assessed property value for open space and land acquisition and the creation of an Open Space Trust Fund",Property tax,,Open space,"$585,000","$585,000","$585,000","$585,000",yes,Pass,64.0097799511%,35.9902200489%,"Morris County, non-binding referendum",yes
NJ,Mahwah Township,Municipal,11-03-1998,"$0.01 per $100 assessed property value for open space, recreation, farmland and historic preservation",Property tax,,"Recreation, open space, farmland","$4,403,980","$3,175,000","$4,403,980","$3,175,000",yes,Pass,72.446953067837%,27.553046932163%,Bergen County,yes
NJ,Medford Township,Municipal,11-03-1998,"$0.02 per $100 assessed property value for open space, farmland, recreation and historic preservation",Property tax,,"Recreation, open space, farmland","$6,124,760","$6,124,760","$6,124,760","$6,124,760",yes,Pass,56.12293144208%,43.87706855792%,Burlington County,yes
NJ,Mercer County,County,11-03-1998,"1 cent per $100 property tax increase for open space conservation, recreation, farmland, land acquisition and facility improvements",Property tax,,"Recreation, open space, farmland","$39,296,100","$33,401,680","$39,296,100","$33,401,680",yes,Pass,60.436518740358%,39.563481259642%,,yes
NJ,Moorestown Township,Municipal,11-03-1998,"4-year, $0.02 per $100 assessed property value for open space, recreation, farmland, land acquisition and historic preservation",Property tax,,"Recreation, farmland, open space","$1,277,332","$1,277,332","$1,277,332","$1,277,332",yes,Pass,72.713809700111%,27.286190299889%,Burlington County,yes
NJ,Mount Laurel Township,Municipal,11-03-1998,"20-year, $0.02 per $100 assessed property value for land acquisition, open space, recreation, farmland and historic preservation",Property tax,,"Recreation, open space, farmland","$10,000,000","$10,000,000","$10,000,000","$10,000,000",yes,Pass,71.949221949222%,28.050778050778%,Burlington County,yes
NJ,North Hanover Township,Municipal,11-03-1998,"$0.02 per $100 assessed property value for purchase of development rights, easements and land acquisition",Property tax,,"Farmland, open space","$773,540","$773,540",,,no,Fail,47.552447552448%,52.447552447552%,Burlington County,yes
NJ,Old Bridge Township,Municipal,11-03-1998,"10-year, $0.01 per $100 assessed property value for open space, land acquisition, recreation, conservation and farmland preservation",Property tax,,"Recreation, open space, farmland","$3,000,000","$3,000,000",,,no,Fail,49.17922194738%,50.82077805262%,Middlesex County,yes
NJ,Pennington Borough,Municipal,11-03-1998,"Question 1, $0.01 per $100 assessed property value for open space, conservation, farmland preservation, recreation and active and passive recreation improvements",Property tax,,"Open space, recreation, farmland","$454,940","$454,940","$454,940","$454,940",yes,Pass,77.235772357724%,22.764227642276%,Mercer County,yes
NJ,Plumsted Township,Municipal,11-03-1998,"$0.01 per $100 assessed propert value for open space, recreation, farmland and historic preservation",Property tax,,"Open space, recreation, farmland","$656,780","$656,780","$656,780","$656,780",yes,Pass,70.741646291769%,29.258353708231%,Ocean County,yes
NJ,River Vale Township,Municipal,11-03-1998,"5-year, Open Space Trust Fund, $0.01 per $100 assessed property value for open space",Property tax,,Open space,"$450,000","$450,000","$450,000","$450,000",yes,Pass,79.049235993209%,20.950764006791%,"Bergen County, non-binding referendum",yes
NJ,Stafford Township,Municipal,11-03-1998,"$0.012 per $100 assessed property valued for open space, recreation, farmland and historic preservation",Property tax,,"Recreation, open space, farmland","$3,575,820","$3,575,820",,,no,Fail,43.146944083225%,56.853055916775%,Ocean County,yes
NJ,Union Township,Municipal,11-03-1998,"$0.02 per $100 assessed property value for open space, conservation and farmland preservation",Property tax,,"Open space, farmland","$1,705,100","$1,705,100","$1,705,100","$1,705,100",yes,Pass,69.84126984127%,30.15873015873%,Hunterdon County,yes
NJ,Washington Township,Municipal,11-03-1998,"$0.01 per $100 assessed property value for open space, recreation and farmland preservation",Property tax,,"Open space, recreation, farmland","$1,323,720","$1,323,720","$1,323,720","$1,323,720",yes,Pass,71.385991058122%,28.614008941878%,"Mercer County, In 2007 Washington Township became known as Robbinsville Township",yes
NJ,West Windsor Township,Municipal,11-03-1998,"$0.05 increase from $0.02 to $0.07 assessed property value for land acquisition and development, open space, farmland and recreation",Property tax,,"Open space, recreation, farmland","$25,714,284","$25,714,284","$25,714,284","$25,714,284",yes,Pass,73.578403216542%,26.421596783458%,Mercer County,yes
NJ,Wharton Borough,Municipal,11-03-1998,$0.01 per $100 assessed property value for open space,Property tax,,Open space,"$2,300,000","$2,300,000","$2,300,000","$2,300,000",yes,Pass,72.89029535865%,27.10970464135%,Morris County,yes
NJ,Evesham Township,Municipal,11-03-1998,".01 per $100 of assessed value of real property,for the preservation and development of recreation, and open space properties ",Property tax,,"Recreation, open space","$4,703,780","$4,703,780","$4,703,780","$4,703,780",yes,Pass,59.236977256053%,40.763022743947%,Burlington County,yes
NJ,Hamilton Township,Municipal,11-03-1998,,Property tax,,"Recreation, open space","$44,421,760","$44,421,760",,,no,Fail,39.074464543336%,60.925535456664%,Mercer County,yes
NJ,Norwood Borough ,Municipal,11-03-1998,"1 cent per $100 property tax increase for the acquisition, preservation, and maintenance of open space and farmland",Bond,,"Open space, farmland, recreation","$1,453,840","$1,453,840","$1,453,840","$1,453,840",yes,Pass,54.790823211876%,45.209176788124%,Bergen County,yes
NM,Bernalillo County,County,11-03-1998,"Mill Levy Question, 2-year, 0.5 mill property tax increase for open space",Property tax,,Open space,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",yes,Pass,56.796564843405%,43.203435156595%,,yes
NM,New Mexico,State,11-03-1998,"Bond for ecologically signficant land, wildlife, open space",Bond,,"open space, wildlife habitat","$620,000","$620,000",,,no,Fail,48.102248554844%,51.897751445156%,,yes
NM,Santa Fe County,County,11-03-1998,"Bond for Open Space, Trails, Recreation, Parks, Wildlife",Bond,,"Recreation, parks, trails, open space, wildlife habitat","$12,000,000","$12,000,000","$12,000,000","$12,000,000",yes,Pass,70.153794152442%,29.846205847558%,,yes
NM,Bernalillo County,County,11-03-1998,"Parks and Recreational Facilities Bond, Bond for Parks, Recreation",Bond,,"recreation, parks","$3,370,000","$660,000","$3,370,000","$660,000",yes,Pass,68.168803346142%,31.831196653858%,,yes
NY,Southampton,Municipal,11-03-1998,"Town Proposition No. 1, 2 Percent Real Estate Transfer Tax Increase for Open Space, Historic Preservation",Real estate transfer tax,,open space,"$19,953,154","$14,414,172","$19,953,154","$14,414,172",yes,Pass,60.379457388295%,39.620542611705%,,yes
NY,Huntington,Municipal,11-03-1998,"Town Proposition No. 1, Bond for Open Space, Parks",Bond,,"open space, parks","$15,000,000","$10,000,000","$15,000,000","$10,000,000",yes,Pass,72.250254660886%,27.749745339114%,Suffolk County,yes
NY,Shelter Island,Municipal,11-03-1998,"Town Proposition No. 1, 2 Percent Real Estate Transfer Tax Increase for Open Space, Historic Preservation",Real estate transfer tax,,open space,"$749,694","$741,158","$749,694","$741,158",yes,Pass,70.552147239264%,29.447852760736%,,yes
NY,East Hampton,Municipal,11-03-1998,"Town Proposition No. 1, 2 Percent Real Estate Transfer Tax Increase for Open Space, Historic Preservation",Real estate transfer tax,,open space,"$6,780,605","$6,780,605","$6,780,605","$6,780,605",yes,Pass,66.807272727273%,33.192727272727%,,yes
NY,Southold,Municipal,11-03-1998,"Town Proposition No. 1, Bond for Open Space, Conservation of Natural Resources",Bond,,"open space,","$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,63.164349959117%,36.835650040883%,,yes
NY,Southold,Municipal,11-03-1998,"Town Proposition No. 2, 2 Percent Real Estate Transfer Tax Increase for Open Space, Historic Preservation",Real estate transfer tax,,open space,"$1,039,500","$935,550","$1,039,500","$935,550",yes,Pass,58.717357910906%,41.282642089094%,,yes
NY,Suffolk County,County,11-03-1998,"Proposition No. 3, Bond for Farmland, Parks, Recreation, Natural History Center",Bond,,"recreation, open space, farmland, parks","$62,000,000","$59,400,000","$62,000,000","$59,400,000",yes,Pass,65.874737458252%,34.125262541748%,,yes
NY,Riverhead,Municipal,11-03-1998,2 percent real estate transfer tax for open space and historic preservation,Real estate transfer tax,,Open space,"$9,387,840","$9,387,840","$9,387,840","$9,387,840",yes,Pass,58.217763352021%,41.782236647979%,,yes
OH,Medina County Park District,County,11-03-1998,"10-year, $0.05 per $100 of assessed value property tax (replacement) for open space, parks",Property tax,,"open space, parks","$12,842,285","$12,842,285","$12,842,285","$12,842,285",yes,Pass,59.9381514145%,40.0618485855%,,yes
OH,Sagamore Hills Township,Municipal,11-03-1998,"5-year, 1 Mill Property Tax Increase for Parks, Open Space",Property tax,,"open space, parks","$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,78.717639975918%,21.282360024082%,Summit County,yes
Ore,Roseburg,Municipal,11-03-1998,Bonds for parks and trails,Bond,,"Parks, trails","$2,500,000","$1,600,000","$2,500,000","$1,600,000",yes,Pass,55.304955527319%,44.695044472681%,Douglas County,yes
Ore,Portland,Municipal,11-03-1998,"Measure No. 26-70, Bond for parks",Bond,,parks,"$64,850,000",,,,no,Fail,49.452846353423%,50.547153646577%,,yes
Ore,Lake Oswego,Municipal,11-03-1998,"Measure No. 3-20, Bond for open space, sports field renovation",Bond,,"open space, recreation","$13,000,000","$6,000,000","$13,000,000","$6,000,000",yes,Pass,60.41055718475%,39.58944281525%,Clackamas County,yes
Ore,Oregon,State,11-03-1998,"Measure 66, 15-years, Constitutional amendment dedicating 15 percent of lottery proceeds for parks, beaches, wildlife, watershed protection",Other,Lottery,"recreation, watershed protection, wildlife habitat, parks","$700,000,000","$700,000,000","$700,000,000","$700,000,000",yes,Pass,67.19624010106%,32.80375989894%,,yes
Ore,Eugene,Municipal,11-03-1998,"Ballot Measure 20-30, Bond for Parkland Acquisition, Sports Field, Swimming Pool",Bond,,"Recreation, Parks","$25,305,000","$9,070,000","$25,305,000","$9,070,000",yes,Pass,66.649478998818%,33.350521001182%,Lane County,yes
Ore,West Linn,Municipal,11-03-1998,"Measure 3-37, Bond for Parks, Recreation",Bond,,"Recreation, Parks","$8,000,000","$8,000,000","$8,000,000","$8,000,000",yes,Pass,51.39968895801%,48.60031104199%,Clackamas County,yes
Ore,Sandy,Municipal,11-03-1998,"Measure 3-32, Bond for parks, recreation",Bond,,"parks, recreation","$1,500,000","$1,100,000",,,no,Fail,48.944860449285%,51.055139550715%,,yes
Ore,Lincoln City,Municipal,11-03-1998,Bond measure for open space acquisition,Bond,,Open space,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",yes,Pass,51.985394796896%,48.014605203104%,Lincoln County,yes
PA,Lower Makefield Township,Municipal,11-03-1998,"Bond for Open Space, Recreation, Farmland, Historical Lands",Bond,,"open space, recreation, farmland","$7,500,000","$7,500,000","$7,500,000","$7,500,000",yes,Pass,71.047723532639%,28.952276467361%,Bucks County,yes
PA,East Bradford Township,Municipal,11-03-1998,0.00125% income tax increase for conservation easements,Income tax,,Open space,"$14,000,000","$14,000,000","$14,000,000","$14,000,000",yes,Pass,68.376824413976%,31.623175586024%,Chester County,yes
RI,East Greenwich,Municipal,11-03-1998,"Bond for Open Space, Recreation",Bond,,"Open space, recreation","$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,71.139180171592%,28.860819828408%,,yes
RI,Bristol,Municipal,11-03-1998,Bond for Farmland Preservation,Bond,,Farmland,"$1,500,000","$1,500,000","$1,500,000","$1,500,000",yes,Pass,82.887412461842%,17.112587538158%,,yes
RI,South Kingstown,Municipal,11-03-1998,Bond for Open Space,Bond,,Open Space,"$1,100,000","$1,110,000","$1,100,000","$1,100,000",yes,Pass,77.039234191722%,22.960765808278%,,yes
RI,Rhode Island,State,11-03-1998,"Question 3, bond for agriculture, forests, greenways and bicycle baths",Bond,,"Recreation, open space, farmland, trails, greenways, forests","$15,000,000","$15,000,000","$15,000,000","$15,000,000",yes,Pass,67.824469222791%,32.175530777209%,,yes
RI,Warwick,Municipal,11-03-1998,Bond for open space and recreation,Bond,,"Open space, recreation","$3,000,000","$3,000,000","$3,000,000","$3,000,000",yes,Pass,69.096137460949%,30.903862539051%,,yes
SC,Hilton Head Island,Municipal,11-03-1998,Bond for land acquisition and parks,Bond,,"Open space, parks","$12,000,000","$12,000,000","$12,000,000","$12,000,000",yes,Pass,80.182232346241%,19.817767653759%,,yes
TX,Austin,Municipal,11-03-1998,"Proposition No. 8, Bond for Land Acquistion, Water Supply Protection",Bond,,"Open Space, Watershed Protection","$19,800,000","$7,997,231","$19,800,000","$7,997,231",yes,Pass,57.205394685955%,42.794605314045%,,yes
TX,Austin,Municipal,11-03-1998,"Proposition No. 2, Bond for Parks, Recreation",Bond,,"parks, recreation","$75,925,000","$40,583,575","$75,925,000","$40,583,575",yes,Pass,59.307212260052%,40.692787739948%,,yes
TX,College Station,Municipal,11-03-1998,"Proposition 4, Bond for Land Acquisition",Bond,,open space,"$1,835,000","$1,835,000","$1,835,000","$1,835,000",yes,Pass,51.697224975223%,48.302775024777%,,yes
TX,College Station,Municipal,11-03-1998,"Proposition 5, Bond for Parks",Bond,,Parks,"$4,769,000","$520,000","$4,768,000","$520,000",yes,Pass,66.65458937198%,33.34541062802%,,yes
TX,College Station,Municipal,11-03-1998,"Proposition 6, Bond for Drainage, Greenbelt Improvements",Bond,,"open space, watershed protection","$3,640,000","$3,529,217","$3,640,000","$3,529,217",yes,Pass,64.972094151905%,35.027905848095%,,yes
UT,Park City,Municipal,11-03-1998,"Bond for Parks, Recreation",Bond,,"parks, recreation","$10,000,000","$10,000,000","$10,000,000","$10,000,000",yes,Pass,77.59312320917%,22.40687679083%,,yes
VA,Arlington County,County,11-03-1998,"Bond for Land Acquistion, Parks",Bond,,"Open space, parks","$17,055,000","$8,500,000","$17,055,000","$8,500,000",yes,Pass,76.377830512985%,23.622169487015%,,yes
